source,target,distance,population_density_source,economic_wealth_source,tourism_potential_source,population_density_target,economic_wealth_target,tourism_potential_target
Delhi,Mumbai,1400,11320,9,7,20600,9,8
Delhi,Bangalore,2000,11320,9,7,4380,8,7
Delhi,Kolkata,1500,11320,9,7,24000,8,7
Delhi,Chennai,2180,11320,9,7,14000,8,7
Delhi,Hyderabad,1650,11320,9,7,10200,7,6
Delhi,Pune,1450,11320,9,7,9200,7,6
Delhi,Ahmedabad,950,11320,9,7,12000,7,5
Delhi,Jaipur,280,11320,9,7,6400,6,6
Delhi,Lucknow,500,11320,9,7,6900,6,5
Delhi,Kanpur,450,11320,9,7,14400,5,5
Delhi,Surat,1000,11320,9,7,14900,6,6
Delhi,Nagpur,1100,11320,9,7,12000,6,5
Delhi,Visakhapatnam,1700,11320,9,7,3800,6,6
Delhi,Patna,1000,11320,9,7,18000,5,4
Delhi,Indore,600,11320,9,7,12000,6,5
Delhi,Coimbatore,2400,11320,9,7,12000,6,6
Delhi,Kochi,2500,11320,9,7,7400,6,8
Delhi,Bhopal,700,11320,9,7,7600,5,4
Delhi,Guwahati,2200,11320,9,7,3300,5,7
Mumbai,Bangalore,840,20600,9,8,4380,8,7
Mumbai,Kolkata,1650,20600,9,8,24000,8,7
Mumbai,Chennai,630,20600,9,8,14000,8,7
Mumbai,Hyderabad,660,20600,9,8,10200,7,6
Mumbai,Pune,150,20600,9,8,9200,7,6
Mumbai,Ahmedabad,530,20600,9,8,12000,7,5
Mumbai,Jaipur,1060,20600,9,8,6400,6,6
Mumbai,Lucknow,1450,20600,9,8,6900,6,5
Mumbai,Kanpur,1500,20600,9,8,14400,5,5
Mumbai,Surat,250,20600,9,8,14900,6,6
Mumbai,Nagpur,820,20600,9,8,12000,6,5
Mumbai,Visakhapatnam,1070,20600,9,8,3800,6,6
Mumbai,Patna,1600,20600,9,8,18000,5,4
Mumbai,Indore,550,20600,9,8,12000,6,5
Mumbai,Coimbatore,950,20600,9,8,12000,6,6
Mumbai,Kochi,1130,20600,9,8,7400,6,8
Mumbai,Bhopal,670,20600,9,8,7600,5,4
Mumbai,Guwahati,2300,20600,9,8,3300,5,7
Bangalore,Kolkata,1500,4380,8,7,24000,8,7
Bangalore,Chennai,350,4380,8,7,14000,8,7
Bangalore,Hyderabad,570,4380,8,7,10200,7,6
Bangalore,Pune,830,4380,8,7,9200,7,6
Bangalore,Ahmedabad,1300,4380,8,7,12000,7,5
Bangalore,Jaipur,1400,4380,8,7,6400,6,6
Bangalore,Lucknow,1850,4380,8,7,6900,6,5
Bangalore,Kanpur,1800,4380,8,7,14400,5,5
Bangalore,Surat,850,4380,8,7,14900,6,6
Bangalore,Nagpur,950,4380,8,7,12000,6,5
Bangalore,Visakhapatnam,650,4380,8,7,3800,6,6
Bangalore,Patna,1600,4380,8,7,18000,5,4
Bangalore,Indore,1200,4380,8,7,12000,6,5
Bangalore,Coimbatore,500,4380,8,7,12000,6,6
Bangalore,Kochi,500,4380,8,7,7400,6,8
Bangalore,Bhopal,1300,4380,8,7,7600,5,4
Bangalore,Guwahati,2150,4380,8,7,3300,5,7
Kolkata,Chennai,600,24000,8,7,14000,8,7
Kolkata,Hyderabad,670,24000,8,7,10200,7,6
Kolkata,Pune,1550,24000,8,7,9200,7,6
Kolkata,Ahmedabad,1750,24000,8,7,12000,7,5
Kolkata,Jaipur,1620,24000,8,7,6400,6,6
Kolkata,Lucknow,560,24000,8,7,6900,6,5
Kolkata,Kanpur,620,24000,8,7,14400,5,5
Kolkata,Surat,1550,24000,8,7,14900,6,6
Kolkata,Nagpur,1000,24000,8,7,12000,6,5
Kolkata,Visakhapatnam,700,24000,8,7,3800,6,6
Kolkata,Patna,300,24000,8,7,18000,5,4
Kolkata,Indore,1200,24000,8,7,12000,6,5
Kolkata,Coimbatore,1020,24000,8,7,12000,6,6
Kolkata,Kochi,950,24000,8,7,7400,6,8
Kolkata,Bhopal,1300,24000,8,7,7600,5,4
Kolkata,Guwahati,1000,24000,8,7,3300,5,7
